x,y,labels,Headline
13.460917,5.550791,183,අඟහරුවාදා (26) සිට ඇඳිරි නීතිය ලිහිල් වෙයි 
8.614366,3.660549,278,එජාපය බෝඩ් ලෑල්ලකට සීමා වෙලා - රංජිත් මද්දුම බණ්ඩාර 
13.545495,5.6235385,183,අදත් දිවයින පුරා ඇඳිරි නීතිය
11.946032,5.148985,308,කොළඹ කොටස් වෙළඳපොලේ ගණුදෙනු කාලය දිගු කෙරේ
11.571799,4.790248,308,එළවළු මිල පාලනයට පොලීසියත්
9.241408,4.0397744,183,රටම අද යළි විවෘත වෙයි - නිරෝධායන නීති ඒ අයුරින්ම - මීටරය පැන්නොත් අත්අඩංගුවට
4.993972,1.6624185,76,ආණ්ඩුව උත්සාහ දරන්නේ තමන්ගේ නොහැකියාව වසා ගැනීමටයි - මන්ත්රී අජිත් පී. පෙරේරා 
6.0035715,6.6468496,35,ක්රීඩක ෂෙහාන් මධුශංකට ක්රිකට් ආයතනයෙන් තහනමක් 
8.572501,4.0876164,278,මාධ්ය සාකච්ඡාවක් පැවැත්වූ පමණින් සිරගත කරන යුගයක් අද රට තුළ නිර්මාණය වෙලා - සජිත් 
7.340391,0.43029466,268,මැතිවරණ දිනයට එරෙහි පෙත්සම් සලකා බැලීම 7 වන දිනටත් ඇරඹේ
11.668186,4.8184896,308,බද්ද වැඩිවීමෙන් අත්යාවශ්ය ආහාර කිහිපයක මිල ඉහළට
7.3574333,0.4212933,268,මැතිවරණ පෙත්සම් අදත් සළකා බැලේ
7.3508196,0.43712795,268,මැතිවරණ පෙත්සම් අටවන දිනටත් සලකා බැලීම ඇරඹේ
8.509178,4.539854,278,මුහුණ දීමට සිදුව ඇති දුෂ්කරතා කුමක් වුවද පළමුව ජනතාව යන ප්රතිපත්තිය අත්හළ නොහැකියි - ජනපති
7.3769774,3.6669986,190,මැතිවරණ කොමිසමේ නිලධාරීන්ට බේරුවල පැවැත්වූ සමුළුවක් ගැන ජානිපෙ කතා කරයි 
13.5978985,5.5622296,183,දිවයින පුරා පනවා තිබූ ඇඳිරි නීතිය ඉවතට
7.330111,0.4208499,268,මහ මැතිවරණය ගැන පෙත්සම් සලකා බැලීම 10 වන දිනයටත් 
10.901716,2.9944885,35,නැට්වෙල්ත් සෙකියුරිටීස් ලිමිටඩ්-හි ව්යාපාර කටයුතු අත්හිටුවයි
13.527599,5.489788,183,ඇමෙරිකාවේ ප්රාන්ත රැසක ඇදිරිනීතියද නොතකා තවදුරටත් විරෝධතා 
7.5363126,4.6021776,190,පාතාල නායකයන් බන්ධනාගාරයේ සිට කරන මෙහෙයුම් නතර විය යුතු බව ජනපති අවධාරණය කරයි 
11.141289,2.46924,320,ශ්රේෂ්ඨාධිකරණ තීන්දුවෙන් පසු සතුට සැමරූ හැටි 
11.338863,2.2821884,320,දරු පස්දෙනෙකු හදාගැනීමට උදව් ඉල්ලන හමුදා පවුල 
8.578562,3.7153294,278,මැතිවරණයට එන්නේ විපක්ෂයක් නැතුවයි - මෛත්රීපාල 
7.9992123,2.5034316,151,මැතිවරණය පෙත්සම් විභාගය ප්රතික්ෂේප කිරීම ගැන පක්ෂ විපක්ෂ අදහස් 
10.916545,2.798365,316,පාලමක් අවැසි මොහොත්තුවාරම 
8.05627,2.614642,151,එජාප අර්බුදය ගැන පක්ෂ විපක්ෂ විවිධ අදහස් 
11.640074,4.6094546,308,දෙසතියකින් වැලිවලටත් පාලන මිලක් 
4.6363173,1.4560411,76,රට අතහැර යන්නේ නැහැ. - කේ.පී. හිරුට කියයි.
11.000992,8.274408,28,Update: නව අමාත්ය මණ්ඩලය මෙසේය..
11.06576,8.393771,28,Update : සජීන්ගේ නිවසේදි ලීසා අතරමං වෙයි.
13.828889,9.787811,233,රිය අනතුරකින් පොලිස් සැරයන්වරයෙක් ජීවිතක්ෂයට.
7.571993,3.7766209,190,මන්ත්රී ජනකට වුනදේ ගැන ඇමති හැරිසන් කියයි.
11.313289,2.3053653,320,මෛත්රී පාලනයේ ජය සැමරූ තිදරු මව නිවසින් එළියට.
11.347383,5.5908046,229,රජයට එක්වනවට එරෙහිව අදත් විරෝධතා.
4.2463675,1.161062,76,අපරීක්ෂාකාරී රිය ධාවනයක් - සි.සී.ටී.වී. සාක්ෂි සහිතයි.
11.114624,8.378253,28,Update: තෙවරප්පෙරුමට නොතීසි.
11.532214,6.4583054,246,විදුලිබල මණ්ඩලයේ සේවකයන් විරෝධතාවක.
10.055196,3.0434039,316,මෙච්චර කාලයක් දේශපාලනය කළා.ප්රථම වතාවට තමයි අපේ ගෙදර පරික්ෂා කළේ.
8.623181,4.4038186,278,සියල්ල රට සහ ජනතාව වෙනුවෙන්. ජනපති.
10.200455,2.952917,316,තිස්ස ඇවිත් හැරිලා ගිහින්ලු.
